Country Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),"Population, total",Urban population growth (annual %)
Bangladesh,0.441594391554743,67.34112688064576,38.37390157459287,4.607308541311173,1.11691050873235,154488400.66666666,3.444378734144508
Barbados,5.077426630639584,100.0,4.515210934606898,1.2967387956682266,0.21673171182819378,284659.22222222225,-0.10528415483686179
Belarus,6.7047631111100445,100.0,7.009751067468059,9.40566223507846,-0.0250150227616596,9482617.555555556,0.6185550800370878
Belgium,8.961275393012043,100.0,7.7722093067798115,23.265561956437335,0.6258434941543682,11201343.333333334,0.6710598325256849
Belize,1.557808527046006,93.55531934008312,34.739542903482324,37.6795770447918,2.186039445237488,353106.1111111111,2.3030009974614343
Benin,0.5740951849332632,38.21688814163208,50.80444819085172,29.3722474699802,2.77759936671131,10309893.111111112,3.948479729622407
Bermuda,7.893294812729875,100.0,2.1876621078750818,3.226612682304966,-0.28384726911586755,64695.77777777778,-0.28601519549904614
Bhutan,1.1246058961933751,89.82686147136175,88.25100981950932,48.00856736346086,1.1810133585543812,719358.3333333334,3.2293502273888524
Bolivia,1.7211369071376759,90.16282064910888,18.37883386485053,30.866994330195734,1.5388692468244423,10703961.333333334,2.1036998004951766
Bosnia and Herzegovina,6.202683368824258,99.96322256836275,25.16319352057867,1.4136677138088398,-1.298348977579964,3498601.3333333335,-0.5835386771600333
Botswana,2.481678553625336,56.387479095458986,29.471768799069082,29.142158280939537,1.5904522551920734,2103680.222222222,3.042771968153284
Brazil,2.369267802465744,99.54134408752441,44.029352975020345,29.259778449181137,0.8589374357443899,202694788.2222222,1.187840901248569
British Virgin Islands,6.172021380114684,99.36463737487794,1.0989075256049226,8.919209787777378,1.081058190120963,28942.777777777777,1.8626215459205189
Brunei Darussalam,22.297085463555142,100.0,0.0121768168953479,46.87141317377333,1.2330067329053178,409295.0,1.6740307243693566
Bulgaria,6.024409824886997,100.0,16.028288521357233,34.699053411476065,-0.6456026717384161,7216093.777777778,-0.18512936007689168
Burkina Faso,0.1526052869911768,19.259105420112625,77.33967717905439,14.97525370262207,2.9535382372084364,17624331.888888888,5.15603876959479
Burundi,0.03142707296395948,7.390621554851531,95.27617926459727,7.590981137252533,3.1750990796952387,9879445.777777778,5.707457762569765
Cabo Verde,1.0581146920795461,85.52314777374269,24.443665580903367,2.7968269259461267,1.2325835130863299,518212.77777777775,2.059811881240549
Cambodia,0.3776098955152098,59.5618023300171,67.80740460303191,26.028477399794667,1.5817711164636878,15275762.777777778,3.3595166599692003
Cameroon,0.30200116427377943,56.89528131484984,77.69161734977395,10.600364276651133,2.6923938421763203,22722137.777777776,3.815558235850914
Canada,15.234180344446798,100.0,22.181059495246533,9.687049290540555,1.0791298208305116,35443371.88888889,1.1686116312891972
Caribbean small states,9.067146449769023,95.70627422142906,9.038389053892407,13.765178680677366,0.6769101273723583,7170064.222222222,0.8463477879926811
Cayman Islands,9.381109842800765,100.0,0.0,10.748513223779133,1.6491942756767546,60681.88888888889,1.6491942756767546
Central African Republic,0.0647039036309724,20.06158492565155,77.85928265512429,18.063216146595067,0.8117333810058734,4494133.111111111,1.553134111396122
Central Europe and the Baltics,6.53809416525137,100.0,15.962784246119517,30.134319140183564,-0.24501425159418647,103471508.66666667,-0.1832890529499719
Chad,0.04823085913362184,8.210311543941504,90.01515982483862,20.352957202302132,3.242666599363574,13683224.777777778,3.7984240975338164
Chile,4.57436404282649,99.7685249954834,27.98540913243635,18.4629694949862,1.1509530709324391,17822771.666666668,1.2205809085810122
China,7.265581005711743,99.94369640350341,12.170669466237735,15.992694637178,0.5015554172469565,1364798888.8888888,2.8505834393585383
Colombia,1.7626962857880102,97.78340784149171,25.638986513019603,14.591303880805933,1.1542139257622845,47185659.222222224,1.6020448260871343
Comoros,0.21274473441450698,72.9657970428467,46.373278509854195,10.157622848489131,2.356663142526339,760028.5555555555,2.764520779095742
Dem. Rep. of the Congo,0.04341761519092664,15.552575635910038,95.21718743642214,13.4555069782662,3.303151950868573,73996281.55555555,4.620008820903133
Rep. Congo,0.5914325299442034,52.34238815307615,62.18237448320446,40.688691189192866,2.612851897961944,4747851.888888889,3.3182171203980357
Costa Rica,1.6402740030732403,99.395499,39.34800463683575,27.601796880783535,1.1183378769538943,4792501.222222222,2.419075626837429
Cote d'Ivoire,0.4173933863146024,61.14218521118165,73.08368502245914,22.883108989322135,2.4772877623466414,22711059.555555556,3.357865673642663
Croatia,4.327607895355841,100.0,30.999400678605284,38.2057534760026,-0.5713435678197153,4214396.555555556,-0.18218435768740548
Cuba,3.1996855216883504,98.77387332916258,16.984653815553767,16.552154976994732,0.10973795337885478,11294056.888888888,0.1867340946969667
Curacao,37.023785098907396,100.0,0.315809933223148,15.481587132482735,0.9437081451491189,155446.77777777778,0.8333891048658919
Cyprus,6.017211196021097,100.0,8.48486163604107,18.650293935743132,0.8863281891806105,1152084.3333333333,0.7401159804460092
Czech Republic,9.800183344739668,100.0,13.23069373383985,22.000450669320468,0.19170668375734207,10539269.555555556,0.26239911028445223
Denmark,7.003335647854053,100.0,27.22008461157222,17.921347462500734,0.5386564908527327,5660239.222222222,0.6939986871212082
Djibouti,0.6516154027943953,56.94209442138673,31.081638505350597,1.5730972830929197,1.6334254195190452,898902.1111111111,1.75306760185703
